 Д.в. // dative
Д.в. // dative
Дієприкметник // S14
Дієслово // S4
живі // animate
жіін. // feminine
жін.р. // feminine
жін.рід // feminine
Займенник // S12
Зн. // accusative
Зн.в. // accusative
І ос. // first
ІІ ос. // second
ІІІ ос. // third
Ім. // S1
Інфінитив - неозначена форма дієслова // infinitive
Кл.в. // vocative
М.в // locative
М.в. // locative
мин.час // past
мн. // plural
Н.в. // nominative
наказовий спосіб // imperative
неживі // inanimate
одн. // singular
Ор.в. // instrumental
Прикм. // S2
Р в. // genitive
Р. // genitive
Р.в. // genitive
різні
сер. рід // neuter
середн. рід // neuter
середн.р. // neuter
середн.рід // neuter
середн.р // neuter
тепер.час // present
Числ. // S7
чол. // masculine
чол.р. // masculine
чол.рід // masculine
